Nombre del estudio,Dirección,Barrio,Teléfono,Email,Instagram,Seguidores,Puntaje x reserñas,Web,Fabricantes Ref,Diseño,App,Opiniones,Presentación,Servicios adicionales,Horario,Código Plus,Fuente de datos,Fecha de recolección,Observacciones,
Quequi Pilates,"Emilio Ravignani, Soler y, C1414 Buenos Aires",PALERMO HOLLYWOOD,54 911 2582 1932,info@quequipilates.com.ar,https://www.instagram.com/quequi.pilates/#,335,"5,0x9",https://www.quequipilates.com.ar/,-,básico,,"Hace 2 meses: Estoy feliz por el cambio que voy notando..Quequi tiene paciencia y exigencia a la vez,ahora entiendo lo bueno de ellos.Me siento acompañada en este proceso de mejorar..Gracias profe!! Tus clases y espacio me dan energía y mucha paz!!","En nuestro estudio nos especializamos en la práctica del Método Pilates, con un enfoque en la técnica, el control postural y la mejora funcional del cuerpo. Nuestro objetivo es brindar un entrenamiento consciente, seguro y efectivo, adaptado a las necesidades individuales de cada alumno",,Lunes a viernes de 8 a. m.–9 p. m.,"CHC7+JQ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web",16-10-25,"Soy Cecilia Linares, bailarina e instructora certificada en el Método Pilates",
PuraVida Pilates,"Ángel Justiniano Carranza 2317, C1425FXE Cdad. Autónoma de Buenos Aires",Palermo,1150543444,,https://www.instagram.com/puravida_yoga_pilates/?hl=es#,3609,"4,5x94",,-,"Amplio, iluminado, equipado, diseño naturalista en la pared, pelotas grises, pesas coloridas.",,"una semana atrás: Nueva Recomiendo mucho las clases en Pura Vida tanto en Carranza como en las Cañitas. Los/las profesores/as son lo mas, te incentivan a dar lo mejor de vos en cada clase y siempre hay algun desafio que lo hace super divertido. Lo que me gusta de las clases es que los movimientos se realizan de manera consciente y tienen en cuenta a cada alumno. Tambien recomiendo la formación de Pilates Reformer con orientacion en Kinesiologia en Pura Vida. La realice con Juan, gran maestro y guia en el camino a seguir aprendiendo sobre la práctica. Muy agradecida de haber conocido Pura Vida y sus profesores!",,,Lunes a viernes de 9 a. m.–9 p. m.,"CHC8+VW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG,",16-10-25,Tiendes dos Estudios y un espacio de Yoga.,
Pilates Clásico - Raquel Sosa Estudio,"Ángel Justiniano Carranza 1944, C1414 Cdad. Autónoma de Buenos Aires",Palermo,1150463195,info@raquelsosa.com.ar,https://www.instagram.com/raquel.sosa.estudio/?hl=es#,5677,"4,9x62",http://raquelsosa.com.ar/,-,"Amplio, tiene un salón para principiantes y otro personalizado. Equipado, luminoso.",,"una semana atrás Nueva: Ir a pilates es uno de los mejores momentos de mi semana. Todos /as instructores del estudio tienen una mirada muy atenta y personalizada. El espacio es hermoso, tranquilo y con una energía muy linda. Siempre lo recomiendo a quienes quieren hacer pilates clásico -de verdad!- o quienes quieran mejorar su postura y bienestar corporal. El estudio de Raque es sin dudas el mejor al que fui jamás!","Nuestro estudio se encuentra en una hermosa casona vintage en el corazón de Palermo Hollywood. Un espacio exclusivo diseñado para pocas personas, donde cada entrenador se enfoca en la atención personalizada de cada estudiante.",,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–12 p. m.","CH97+QF Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web",16-10-25,Profe formada de bailarina,
Powerhouse Pilates,"Bonpland 2029, C1414 Cdad. Autónoma de Buenos Aires",Palermo,1161711943,,https://www.instagram.com/estudiopowerhousepilates/,2367,"4,8x39",,VC,Básico,,"Hace un mes: Hice pilates con las chicas desde el 1er mes de embarazo hasta el 8vo mes. Realmente mi cuerpo se ha sentido de maravillas durante todo el embarazo gracias a los ejercicios y acompañamiento que me han realizado en Powerhouse. Todas/os lo profes muy buenos, bien capacitados y súper amables. El lugar es perfecto, ya que al haber cupos de máximo 4 personas por clase, eso hace que cada sesión sea bien personalizada lo que me encantó! Recomiendo mucho este centro y sobre todo si estás embarazada!!!!",,,Lunes a viernes de 8 a. m.–9 p. m,"CH98+MC Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG,",16-10-25,Ofrecen cursos y capacitaciones,
Pilates Flow,"Humboldt 2211, C1425FUC Cdad. Autónoma de Buenos Aires",Palermo,1138776699,,https://www.instagram.com/pilatesflow.donato/#,981,"5,0x2",,Idepil,Básico,,"Hace un mes: Me encantó la clase! Es una mezcla perfecta entre entrenamiento y estiramiento y salí con una sonrisa grande, gracias",,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","CH99+JM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",16-10-25,Tiene varias sedes…,
Toulouse Pilates Palermo,"Bonpland 2363, C1425FRA Cdad. Autónoma de Buenos Aires",Palermo,1153584489,cámara,https://www.instagram.com/toulouse.pilates/?hl=es#,"10,2 mil","5,0x72",http://www.toulousepilates.com/,P&P,"Equipado, amplio, iluminado.",,Hace 10 meses: Probé en todos los lugares de pilates en palermo. No hay como las profes de touluse. Llevo 2 años y medio. Me siento muy cuidada en cada clase.,"En Toulouse le proponemos al alumnado construir una actitud activa, presente y con ansias de evolucionar. Tanto en sus movilidades como en sus entendimientos de su anatomía y corporalidad",,Lunes a viernes de 8 a. m.–9 p. m.,"CHC9+PF Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web",16-10-25,"Tiene 4 sedes, colegiales, Chacabuco, cañitas, Palermo. Ofrecen cursos.",
Eutónico Pilates,"Humboldt 2454, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1124888068,,https://www.instagram.com/eutonicopilates/#,914,"4,9x36",,Reformer de caño,Básico. Tonalidades azules.,,"Hace 2 meses: Hace tres meses que voy y me siento muy agradecida con el estudio por la excelente experiencia que estoy teniendo allí . Desde el momento en que entré, me sentí muy cómoda y apoyado por los profes. Las clases son desafiantes y agradables , y me ayudaron a mejorar mi flexibilidad, fuerza y equilibrio. Los profesores se toman el tiempo para asegurarse de que cada alumno esté realizando los ejercicios correctamente y de manera segura. La atención personalizada y el ambiente relajado me permiten sentirme cómoda y disfrutar del proceso de aprendizaje. Recomiendo este estudio a cualquiera que busque mejorar su salud y bienestar. ¡Es un lugar increíble!","Proponemos nuestra actividad, Pilates, como un redescubrimiento de nuestro cuerpo. Establecer un nuevo vínculo mas saludable que se prolongue en el tiempo. Tomamos el nombre eutónico para representarnos, en homenaje al método de eutonía, que nos inspira a trabajar desde de una perspectiva de consciencia corporal. Con Pilates, entrenamos el cuerpo en totalidad haciendo hincapie en la conciencia del cuerpo y la mecánica de movimiento. Empezamos entrenando lo más sencillo “escucha activa”, que por medio de indicaciones claras nos estimula cognitivamente y nos desafia a la coordinación y concentración. Gradualmente aumentamos la dificultad e intensidad en la práctica.",,Lunes a viernes de 8 a. m.–9 p. m.,"CHCC+HJ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG, web.",17-10-25,Instructora y profesora y bailarina de Tango.,
DDB pilates,"Godoy Cruz 2880, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111554859247,,https://www.instagram.com/ddbpilates/,397,"4,9x20",,Studio moderna Pilates,"Espejos grandes, espacio amplio. Pared dibujada como un cielo con nubes.",,Hace 2 meses: El lugar está espectacular y muy bien puesto! La atención muy buena y una clase muy profesional! Lo recomiendo mucho,"DDB pilates es mucho más que un estudio. Es un espacio de pertenencia donde el movimiento se convierte en ritual, y el bienestar es una forma de vida. Nacido desde una historia real de transformación, como extensión natural de DDB ballet, con el mismo sello de excelencia, proponemos una experiencia que no solo modela el cuerpo, sino que eleva la calidad de vida. Cada clase está pensada para reconectar con el cuerpo desde el cuidado, la presencia y la intención. Un lugar al que querés volver.",,"Lunes a jueves de 8 a. m.–8 p. m. viernes, 8 a. m.–3 p. m. domingo, 10 a. m.–1 p. m.","CHFG+6F Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",17-10-25,Abrieron en julio de 2025. Vinculado a la danza.,
Pramana Pilates Studio,"Av. Sta. Fe 4534, C1425 Cdad. Autónoma de Buenos Aires",Palermo Soho,1134951802,,https://www.instagram.com/pramanapilates.studio/?hl=es-la,1234,"4,9x43",,-,"Equipado, amplio, iluminado.",,"Hace 5 meses: Es un placer aprender el método Pilates en un espacio como el de PRAMANA. Tienen una inmensa variedad de elementos de trabajo del Método (impecables y de calidad) y una guía profesional y precisa para profundizar en la práctica, en un espacio cuidado y limpio. Cada clase es un encuentro con un aprendizaje integral y amable que me inspira y estimula a seguir aprendiendo. Para quien esté con ganas, recomiendo especialmente la experiencia de clases individuales!!",,,"Lunes a viernes 8 a. m.–12 p. m., 3–8 p. m. sábado, 9 a. m.–12 p. m.","CHCG+83 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",17-10-25,,
Tu mundo Pilates,"Bulnes 1730, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1157668735,,https://www.instagram.com/tumundopilates_/?hl=es#,3280,"4,9x60",,-,básico,,Hace 5 meses: Feliz de haber encontrado este espacio para hacer pilates. Las profes muy buenas y la atención de las secretarias es de 10.,,,"Lunes a viernes 8 a. m.–12 p. m., 4–9 p. m.","CH5P+C2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",17-10-25,"Tiene dos sedes, cañitas y Palermo.",
BG PILATES BARRIO NORTE,"Araóz, Juncal y, 1025 Cdad. Autónoma de Buenos Aires",Palermo,111524717556,Betina González,https://www.instagram.com/bg.pilatesintegral/,219,"5,0x3",,Studio moderna Pilates,Básico,,"Hace 2 meses: Beti es muy genia. Las clases son súper personalizadas, te sentis muy cuidada y se trabaja un monton!",,,"Lunes a miércoles y viernes 8 a. m.–12 p. m., 4–9 p. m. jueves, 12 a. m.–12 p. m., 4–9 p. m.","CH8P+9W Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",17-10-25,Abrió en febrero de 2025,
Jaz Cherbenco Pilates Clásico,"Av. Cerviño 3542, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111554639756,,https://www.instagram.com/jazcherbenco.pilates/#,1846,"5,0x15",,-,Básico,,3 semanas atrás: Nueva: Es sin dudas el mejor espacio para aprender y practicar Pilates. Jaz es una increíble docente. Conoce muchísimo sobre esta maravillosa técnica y lo transmite con mucho cuidado al detalle y paciencia. Sabe escuchar lo que cada uno/a necesita. Las clases son dinámicas y Jaz tiene un gran cuidado y respeto por el cuerpo y sus procesos. Salgo feliz siempre!,,,Lunes a viernes de 8 a. m.–8 p. m.,"CH9R+V9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",17-10-25,,
Mamiwata Pilates Reformer,"Av. Rivadavia 6126, C1406 Cdad. Autónoma de Buenos Aires",Caballito,111571724563,,https://www.instagram.com/mamiwatapilates/?hl=es-la#,4032,"5,0x48",,IProfe,"Paleta de colores violetas, azul y grises, pelotas, luces. Diseños especiales para fechas.",,"Hace 6 meses: El mejor lugar para hacer pilates! Las clases son dinámicas, con buena música, ejercicios completos y el momento de elongación que es clave. Me sentí muy cómoda desde el día uno, el estudio también es hermoso estéticamente y hay un montón de elementos para utilizar en las clases. Todo es muy organizado, desde la inscripción, los cambios de horarios o la recuperación de clases si lo necesitás. Super recomendado, una genia la profe cami",Entrená diferente: Pilates reformer + funcional + cardio,,"De lunes a viernes de 8 a. m.–9 p. m. sábado, 9 a. m.–1 p. m.","9GFX+W2 Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps instagram,5-08-25 Revisado23-10-25,,
The Pilates Studio,"San José de Calasanz 219, C1424AHE C1424AHE, Cdad. Autónoma de Buenos Aires",Caballito,54 11 5125-0664,,https://www.instagram.com/thepilatesstudiook/?hl=es#,5469,"4,8x35",,Idpil.com,"Moderno. Iluminado. Paletas de colores malvas, verdes, pelotas y aros flex.",,"Editado una semana atrás: Lamento tener que hacer este review pero hay que reconocer lo bueno como lo malo. Era alumna recurrente y me encantaban las clases de Anto, sin embargo, hasta hoy estoy en este lugar por la dueña. Ademas de ser muy prepotente, prácticamente me hizo sentir como si su sistema de cobros era mi culpa cuando ella misma reconoció que habia sido un error interno de su local. Yo me alinee a la información que su hija me dió cuando comencé los pagos para ganar un turno fijo comprometida siempre pagando cuando me avisaban ya venia el proximo cobro y hoy después de aun tener la recurrencia la señora decidió no era asi, que el error era de sus empleadas pero la culpable por no leer papeles en el lugar era yo. Con gestos de burla y muy desagradables me terminó diciendo que si abonaba las clases serian si había disponibilidad.... que triste de verdad este nivel de trato y espero aprendan a tratar mejor a las personas que quieren estar en su espacio, porque al final el servicio es lo unico que tienen para ofrecer y eso sobrevive gracias a personas como yo que deciden pagarlo y a la excelentes clases que Anto nos da. Te extrañare Anto!",-,,"Lunes a viernes de 8 a. m.–9 p. m. sábado, 8 a. m.–2 p. m.","9HH6+6M Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,5-08-25Revisado 23-10-25,"Tiene dos sedes. Calasanz 219,Caballito Sur. Honorio Pueyrredón 1010 – Caballito Norte. En la revisión del 23-10 no abre el IG",
Etnya Pilates,"Av. Pedro Goyena 388, C1424 C1424BSQ, Cdad. Autónoma de Buenos Aires",Caballito,1139696534,,https://www.instagram.com/etnyapilates/?hl=es#,3626,"4,1x67",,Del Rio Pilates Reformer,,,"Hace 7 meses: Dan mil vueltas para responder una pregunta simple por wpp y encima con bastante mala onda. Solo quería reservar una clase de prueba, pero la atención es tan horrible que se me fueron las ganas. Atencion desastrosa.Como no contestan los whatsapp,ig etc.me acerque a la sucursal de Zuviria,por unas rejas vi 4 o 5 personas sin hacer nada,me abrieron un poquito la puerta como para que no vea nada,le explico y me dice cuales son tus ultimos numeros asi te contesto.Como se tomo su tiempo me acerque a la sede de Pedro Goyena donde me mate tocando timbre y nadie me atendio.Despues de eso me responden por whatsapp que puedo tomar una clase de prueba y que les deposite $ 4000 y mande el comprobante,ahi si estaba apurada.Le mando el comprobante,le pregunto si recibio el pago y me responde 4 dias despues osea el dia de mi clase si iba a ir.No fui porque si empezamos asi que me queda para despues.Hoy me manda un whatsapp diciendo que perdi mi clase por no contestar ni ir.Mi clase te la deje paga! Es verdad como lei que hay mala energia y predispisicion nada mas ni nada menos en un lugar que dan clases de yoga y pilates.",-,Yoga,"Lunes a viernes, 9 a. m.–9 p. m. Sábado, 9 a. m.–2 p. m.",9HF8+MX Cdad. Autónoma de Buenos Aires,Google masp instagram,5-08-25 Revisado 23-10-25,"Tiene dos sedes en: Av Pedro Goyena 388 y Zuviria 601, Caballito",
Armonia Pilates,"altura Doblas al 650, Pje. la Mar 158, C1424 Cdad. Autónoma de Buenos Aires",Caballito,1161525188,,https://www.instagram.com/pilatesenarmonia/,1532,"4,5x42",,-,"Colorido, paredes rojas.",,Hace 2 meses: Los profesores son buenos. Dejé de ir porque por las mañanas la dueña se pasaba charlando con el profesor durante la clase. Lo consideré una falta de respeto.,-,,"Lunes- viernes de 8 a. m.–1 p. m., 4–9 p. m. sábado, 8 a. m.–1 p. m.","9HWH+6H Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",23-10-25,,
Tu Espacio de Pilates y Estética,"San José de Calasanz 15, C1424 Cdad. Autónoma de Buenos Aires",Caballito,1124032989,cámara,https://www.instagram.com/tuespaciodepilatesyestetica/?hl=es#,2188,"4,9x4",,-,"Pared con tonalidades malvas, tienen plantas,",,"2 semanas atrás: Nueva Feliz de haber encontrado éste estudio de Pilates! Hace 1 año y medio que tomo clases en la sede ""Rosario"" y solo tengo palabras de agradecimiento no sólo para las profes que son todas unas genias, te súper explican y tienen una paciencia infinita para adaptarte los ejercicios si no podés con alguno, sino también con Adri y Miranda que son un amor y te responden al toque si necesitas cambiar algún turno o cualquier duda que presentes. Si realmente querés sentirse mejor y súper cuidada, no importa la edad que tengas, no dejes de probar ésta experiencia! Recomiendo 100%!!!!",-,"Estética, masajes, área holística","Lunes a viernes, 8 a. m.–9 p. m. Sábado, 9 a. m.–3 p. m.4,8x","9HJ6+3C Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps instagram,23-10-25,Miembro de Cámara de Pilates. En junio cumplieron 13 años.,
Espacio Activa Primera Junta,"Yerbal 719, C1405CDO Cdad. Autónoma de Buenos Aires",Caballito,1130407086,,https://www.instagram.com/espacioactivapilates/?hl=es#,4147,"4,8x40",http://www.espacioactiva.com/,Studio moderna Pilates,"Básico. Paredes de tonalidad verde. Pelotas azules, puerta a calle.",,"Hace 6 días: Nueva: Hace varios inicié pilates aquí,ly ahora retomé.excelente el poder reprogramar mis ausencias.GEORGINA ,que la tuve en una suplencia me pareció su clase dinámica y llevadera,mirando a sus alumnas atentamente.",-,,· Lun - Vie: 8:00am - 21:00pm. Sab: 9:00am - 13:00pm,"9HJ5+FJ Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,5-08-25 Revisado 23-10-25,"Tiene tres sedes: Rivadavia 6177, Flores, Yerbal 719, Primera Junta, Doblas 230, Caballito.",
AC Atelier Pilates,"Av. Rivadavia 5040 Piso 11 C, C1406 Cdad. Autónoma de Buenos Aires",Caballito,1151648777,,https://www.instagram.com/acatelierpilates/#,278,"4,6x20",,Life Pilates,"Básico. Espejos, reformer, pelotas.",https://quedeporte.com.ar/ac-atelier-pilates-,Hace 2 meses: Hermoso espacio donde las clases son súper completas y dan ganas de volver. La profe esta muy encima de cada ejercicio y eso se agradece.,"AC Atelier Pilates: Clases de pilates con resultados reales, atención personalizada y buena energía. Tu lugar para desconectar y reconectar",,"Lunes- viernes 9 a. m.–9 p. m. Sábado, 9 a. m.–1 p. m.","9HJ7+F6 Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,5-08-25 revisado 23-10-25,,
